mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa
668939,Adley Rutschman,BAL,98.981184,31.794828,1.361698,20.302425,3.786,84.1123,73.827,0.7529381,95.281,74.458,0.2739059,0.0806587,0.3511862,4.5846295,631
673357,Luis Robert Jr.,CHW,88.38417,30.57195,1.537116,24.8614,25.871,82.03,76.982,6.9725174,181.728,39.122,0.2455821,0.072318,0.3098853,7.2388923,631
606192,Teoscar Hernandez,LAD,88.717338,30.30062,2.112588,31.2345,7.572,80.137,90.864,2.5181108,184.252,48.587,0.26161,0.0770378,0.3419279,6.3574419,631
663993,Nathaniel Lowe,WAS,104.130775,24.76044,1.743453,16.849593,2.0823,76.982,79.506,0.5725929,136.927,73.827,0.264701,0.077948,0.3338116,3.9307394,631
678009,Parker Meadows,DET,90.612864,27.01656,6.901092,17.046432,26.376,82.896,58.6552,5.8758605,140.672,61.544,0.2499346,0.0732498,0.3207695,6.0139046,628
670770,TJ Friedl,CIN,88.960284,26.553618,4.741065,13.040517,23.142,79.779,63.336,4.641005,99.876,50.547,0.238687,0.067837,0.2961203,5.13764,609
575929,Willson Contreras,STL,87.574344,30.366864,0,27.226848,4.389,75.867,83.391,2.215951,160.512,63.327,0.2575395,0.0753584,0.3408975,5.1865047,627
,Adolis Garcia,TEX,77.23275,27.26856,0.0604716,30.17007,9.39,76.998,83.884,3.3027775,179.036,50.08,0.233942,0.0683444,0.3155431,5.8396897,626
686611,Dylan Crews,WAS,103.30565,27.020664,2.88273,14.858736,28.17,80.754,70.738,7.4978839,130.208,42.568,0.2537876,0.0741421,0.3015333,6.3562042,626
664761,Alec Bohm,PHI,107.381664,35.395776,2.543424,17.27856,4.368,72.5712,79.872,1.7000169,98.592,40.56,0.2786909,0.0811573,0.3296426,4.2099408,624
624585,Jorge Soler,LAA,73.71336,24.805368,1.248492,28.892248,1.246,80.99,84.728,0.5211031,161.357,70.399,0.2328253,0.0676922,0.3287374,4.9382526,623
680869,Zack Gelof,ATH,79.616,31.1,1.866,21.77,26.746,70.286,68.42,6.0937463,181.624,52.248,0.2358079,0.0684493,0.308535,6.2654966,622
683737,Michael Busch,CHC,77.439,31.23684,2.734312,25.000668,1.866,75.262,83.97,1.0116321,169.184,66.554,0.2455879,0.0712882,0.3343253,4.5526178,622
665926,Andres Gimenez,TOR,107.7615,26.09912,3.224448,13.140372,28.612,73.396,63.444,5.9340389,102.008,29.856,0.2536975,0.0736422,0.2890562,5.7587993,622
680977,Brendan Donovan,STL,110.971458,31.956039,2.469096,14.069376,5.589,70.794,72.657,2.5166632,81.972,52.785,0.2806437,0.0813331,0.3326063,3.7562775,621
650489,Willi Castro,MIN,91.73334,31.15872,4.20112,12.21586,20.46,75.02,54.56,5.9154889,148.18,50.22,0.2444962,0.0707431,0.2996569,4.426914,620
676059,Jordan Westburg,BAL,94.390848,31.738626,4.667754,25.005825,11.124,77.25,80.34,2.7402522,132.252,45.114,0.2719617,0.0784362,0.3424995,5.7743134,618
621043,Carlos Correa,MIN,95.733144,33.646392,1.794672,21.789444,0.618,84.048,79.722,0.4012422,119.892,63.036,0.2756281,0.0794936,0.3507175,4.522059,618
694384,Nolan Schanuel,LAA,104.638264,26.906136,1.854702,10.730247,6.17,75.891,61.7,2.2777031,99.337,75.274,0.2660558,0.0766087,0.3284781,3.14658,617
671213,Triston Casas,BOS,76.721865,27.183,0,29.17068,0.615,79.704,84.255,0.7202966,165.435,80.565,0.2490023,0.0714659,0.3513697,4.9674983,615
669911,Michael Toglia,COL,71.351712,24.027048,3.5612,33.04548,9.21,76.75,81.662,2.7561987,186.042,61.4,0.2388444,0.068439,0.3378474,6.0196438,614
669242,Tommy Edman,LAD,96.065028,30.58776,3.073464,12.7908,26.928,74.664,69.156,4.9568961,107.1,42.84,0.2503989,0.0715161,0.2992619,5.6885259,612
,Corey Seager,TEX,87.157035,34.191696,1.764882,37.829862,1.218,95.613,93.786,0.8275521,111.447,59.073,0.2926633,0.0831775,0.3927571,7.068429,609
